last,first,state,cabc,caic,cbill,claw,cpass,sabc,saic,sbill,slaw,spass,ssabc,ssaic,ssbill,sslaw,sspass,congress,cgnum,icpsr,year,dem,majority,elected,female,afam,latino,votepct,dwnom1,chair,subchr,seniority,state_leg,state_leg_prof,maj_leader,min_leader,allbill,allaic,allabc,allpass,alllaw,les,lagles,meddist,power,up_for_reelection,freshman,majparty_dist,deleg_size,benchmark,expectation,cong_icpsr,icpsr_2,name,party,count_co_by_mem_sn,count_spon_by_mem_sn,count_dem_co_sn,count_rep_co_sn,count_spon_cosponsored_SN,mean_cospon_spon_SN,mean_pct_cospon_opp_spon_SN,count_opposing_co_spon_sn,cong,cong_icpsr_2,count_co_by_mem_sn_nc,count_spon_by_mem_sn_nc,count_dem_co_sn_nc,count_rep_co_sn_nc,count_spon_cosponsored_SN_nc,mean_cospon_spon_SN_nc,mean_pct_cospon_opp_spon_SN_nc,count_opposing_co_spon_sn_nc,mean_prop_cospon_opp_spon_SN_ss,prop_co_bipart_ss,votepct_sq,perc_co_bipart,mean_prop_cospon_opp_spon_SN,prop_co_bipart,pct_aic,pct_abc,pct_pass,pct_law,gridlock,post1994,bipart_sq,prop_spon_bi_cospon,prop_spon_bi_cospon_all,count_spon_no_cospon,prop_spon_no_cospon,mean_prop_cospon_opp_spon_SN_nc,perc_co_bipart_nc,prop_co_bipart_nc,normbipart,time,majsize,majmargin,demmd,repmd,ptydiff,normptydiff,normvotepct,nonclaw
Dominick,Peter,CO,3,0,8,0,3,2,0,36,0,2,1,0,2,1,1,93,30,10514,1972,0,0,1962,0,0,0,59,0.33500000834465027,0,0,6,1,0.2840000092983246,0,0,46,0,6,6,1,0.7030418515205383,NA,0.460999995470047,1,1,0,0.6485087871551514,5,0.5484856963157654,2,93.10514,10514,219,200,132,45,63,64,22,5.68181818181818,27.9550430412499,12,93,93.10514,129,37,62,62,20,6.1,23.2505473453749,10,NA,0.8,3481,47.727272,0.27955043,0.47727272,0,13.043478,100,16.666666,97.82609,0,0.07814845,0.54545456,0.26666668,23,0.51111114,0.23250547,48.062016,0.48062015,-0.50887305,0,58,8,-0.332,0.26,0.592,-0.8384294,-0.079199575,1
Haskell,Floyd,CO,2,0,5,0,2,3,0,9,1,3,1,0,1,0,1,93,44,14104,1972,1,1,1972,0,0,0,49,-0.42100000381469727,0,0,1,1,0.2840000092983246,0,0,15,0,6,6,1,0.5024703145027161,NA,0.29500001668930054,0,0,1,0.10749120265245438,5,0.4209706783294678,2,93.14104,14104,319,100,107,15,80,22,11,2.72727272727273,63.5606060606061,9,93,93.14104,105,10,79,21,10,2.9,59.9166666666667,8,1,0.0285714285714286,2401,20.560747,0.63560605,0.20560747,0,40,100,16.666666,93.333336,0,0.40399504,0.8181818,0.6,4,0.26666668,0.5991667,20,0.2,1.2516563,0,58,8,-0.332,0.26,0.592,-0.8384294,-1.1390518,1
Ribicoff,Abraham,CT,0,0,4,0,0,0,0,39,0,0,2,0,2,0,0,93,83,7847,1972,1,1,1962,0,0,0,54,-0.33799999952316284,0,1,6,1,0.20000000298023224,0,0,45,0,2,0,0,0.39249593019485474,NA,0.21199999749660492,1,1,0,0.0244912002235651,6,1.0739696025848389,1,93.7847,7847,581,100,163,45,120,41,33,8.3030303030303,34.4297093124844,20,93,93.7847,163,41,120,41,33,8.3030303030303,34.4297093124844,20,0.378787878787879,0.0434782608695652,2916,25.153374,0.34429708,0.25153375,0,4.4444447,0,NA,100,0,0.11854048,0.6060606,0.44444445,12,0.26666668,0.34429708,25.153374,0.25153375,-0.188731,0,58,8,-0.332,0.26,0.592,-0.8384294,-0.6091257,0
Weicker,Lowell,CT,0,0,0,0,0,0,0,18,0,0,0,0,1,0,0,93,100,12032,1972,0,0,1970,0,0,0,42,0.12099999934434892,0,0,2,1,0.20000000298023224,0,0,19,0,0,0,0,0.12361695617437364,NA,0.24699999392032623,0,0,0,0.4345088005065918,6,0.37378644943237305,1,93.12032,12032,724,200,67,19,53,13,16,6.75,60.1135912698413,13,93,93.12032,67,19,53,13,16,6.75,60.1135912698413,13,0.333333333333333,0.857142857142857,1764,79.10448,0.6011359,0.7910448,0,0,NA,NA,100,0,0.3613644,0.8125,0.68421054,3,0.15789473,0.6011359,79.10448,0.7910448,1.0812175,0,58,8,-0.332,0.26,0.592,-0.8384294,-1.8809483,0
Biden,Joseph,DE,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,93,12,14101,1972,1,1,1972,0,0,0,51,-0.4020000100135803,0,1,1,0,0,0,0,19,0,0,0,0,0.11743611097335815,NA,0.2760000228881836,0,0,1,0.08849120885133743,1,0.8555955290794373,1,93.14101,14101,57,100,70,19,57,12,9,4,39.6913580246914,7,93,93.14101,69,19,57,11,9,4,39.6913580246914,7,NA,0.136363636363636,2601,17.142857,0.3969136,0.17142856,0,0,NA,NA,100,0,0.1575404,0.7777778,0.36842105000000003,10,0.5263158,0.3969136,15.942029,0.1594203,0.07143314,0,58,8,-0.332,0.26,0.592,-0.8384294,-0.92708135,0
Roth Jr.,William,DE,2,0,2,0,2,1,0,13,0,1,0,0,0,0,0,93,84,11044,1972,0,0,1970,0,0,0,59,0.2980000078678131,0,0,2,0,0,0,0,15,0,3,3,0,0.175557941198349,NA,0.42399999499320984,1,0,0,0.6115087866783142,1,0.37378644943237305,1,93.11044,11044,596,200,59,15,33,24,8,8,62.2237907020516,7,93,93.11044,58,13,33,23,7,9,56.8271893737732,6,NA,0.8125,3481,55.932205,0.6222379,0.55932206,0,20,100,0,100,0,0.38718003,0.875,0.46666667,7,0.46666667,0.5682719,56.896553,0.56896555,1.1855571,0,58,8,-0.332,0.26,0.592,-0.8384294,-0.079199575,0
Chiles,Lawton,FL,1,0,6,1,1,4,0,35,1,3,2,0,2,2,2,93,21,13101,1972,1,1,1970,0,0,0,54,-0.2080000042915344,0,0,2,1,0.2240000069141388,0,0,43,0,7,6,4,1.1230045557022097,NA,0.0820000022649765,1,0,0,0.10550879687070848,15,0.46464550495147705,3,93.13101,13101,144,100,99,43,80,18,12,8.5,37.5196550525498,9,93,93.13101,99,37,80,18,12,8.5,37.5196550525498,9,0.414772727272727,0.148148148148148,2916,18.181818,0.37519655,0.18181819,0,16.27907,85.71429,66.666664,90.69768,0,0.14077245,0.75,0.20930232,31,0.7209302,0.37519655,18.181818,0.18181819,-0.035947528,0,58,8,-0.332,0.26,0.592,-0.8384294,-0.6091257,3
Gurney,Edward,FL,2,0,8,0,2,0,0,43,0,0,0,0,0,0,0,93,40,10593,1972,0,0,1968,0,0,0,56,0.3149999976158142,0,0,3,0,0,0,0,51,0,2,2,0,0.30216142535209656,NA,0.44099998474121094,0,1,0,0.6285088062286377,15,0.4174612760543823,2,93.10593,10593,302,200,126,51,81,41,20,4.8,54.9345238095238,16,93,93.10593,123,43,80,39,20,4.8,54.9345238095238,16,NA,0.888888888888889,3136,64.28571,0.54934525,0.64285713,0,3.9215686,100,0,100,0,0.30178022,0.8,0.3137255,31,0.60784316,0.54934525,65.04065,0.6504065,0.8251368,0,58,8,-0.332,0.26,0.592,-0.8384294,-0.39715523,0
Nunn,Sam,GA,0,0,0,0,0,0,0,7,0,0,1,0,1,1,1,93,75,14108,1972,1,1,1972,0,0,0,54,-0.08799999952316284,0,0,1,1,0.14000000059604645,0,0,8,0,1,1,1,0.3293248414993286,NA,0.03799999877810478,1,0,1,0.22550879418849945,10,0.4209706783294678,2,93.14108,14108,538,100,70,8,50,17,7,2.42857142857143,22.8571428571429,3,93,93.14108,69,8,49,17,7,2.42857142857143,22.8571428571429,3,0,0.1875,2916,24.285715,0.22857143,0.24285716,0,12.5,100,100,87.5,0,0.052244898,0.42857143,0.375,1,0.125,0.22857143,24.637682,0.24637681,-0.7609405,0,58,8,-0.332,0.26,0.592,-0.8384294,-0.6091257,1
Talmadge,Herman,GA,1,0,8,1,1,6,0,24,3,6,2,0,2,2,2,93,96,9174,1972,1,1,1956,0,0,0,78,-0.09300000220537186,1,1,9,0,0,0,0,34,0,9,9,6,1.3669800758361816,NA,0.03299999609589577,1,1,0,0.22050879895687103,10,2.3052268028259277,2,93.9174,9174,684,100,79,34,59,17,12,5.08333333333333,29.6596459096459,7,93,93.9174,77,26,59,15,11,5.45454545454545,32.3559773559774,7,NA,0.16,6084,21.518988,0.29659647,0.21518987,0,26.470589,100,66.666664,82.35294,0,0.08796947,0.5833333,0.20588236,22,0.64705884,0.32355976,19.48052,0.1948052,-0.42458835,0,58,8,-0.332,0.26,0.592,-0.8384294,1.9345195,5
Fong,Hiram,HI,1,0,26,0,1,5,0,41,3,3,1,0,1,0,0,93,35,3255,1972,0,0,1959,0,0,0,52,0.193000003695488,0,0,8,1,0.2460000067949295,0,0,68,0,7,4,3,0.8434852957725525,NA,0.3190000057220459,1,0,0,0.5065088272094727,2,0.6358353495597839,2,93.3255,3255,253,200,39,68,22,17,7,6.14285714285714,44.3833943833944,5,93,93.3255,39,42,22,17,7,6.14285714285714,44.3833943833944,5,NA,0.818181818181818,2704,56.410255,0.44383395,0.56410253,0,10.294118,57.142857,75,95.588234,0,0.19698857,0.71428573,0.073529415,61,0.89705884,0.44383395,56.410255,0.56410253,0.3034325,0,58,8,-0.332,0.26,0.592,-0.8384294,-0.8210961,3
Inouye,Daniel,HI,5,0,68,0,5,7,0,86,0,5,3,0,4,1,3,93,53,4812,1972,1,1,1962,0,0,0,83,-0.3179999887943268,0,1,6,1,0.2460000067949295,0,0,158,0,15,13,1,1.6620336771011353,NA,0.1919999867677689,1,1,0,0.00449118856340646,2,1.0739696025848389,3,93.4812,4812,373,100,133,158,103,28,26,3.80769230769231,47.0123626373626,17,93,93.4812,132,90,103,27,26,3.80769230769231,47.0123626373626,17,0.638888888888889,0.0333333333333333,6889,21.052631,0.47012362,0.21052632,0,9.49367,86.666664,7.6923075,99.36709,0,0.22101621,0.65384614,0.10759494,132,0.835443,0.47012362,20.454546,0.20454545,0.43342268,0,58,8,-0.332,0.26,0.592,-0.8384294,2.4644456,1
Clark,Dick,IA,0,0,2,0,0,0,0,15,0,0,2,0,2,1,2,93,23,14102,1972,1,1,1972,0,0,0,55,-0.5379999876022339,0,1,1,0,0,0,0,19,0,2,2,1,0.5260836482048035,NA,0.4120000004768371,0,0,1,0.2244911938905716,6,0.8555955290794373,2,93.14102,14102,149,100,140,19,115,22,11,4.81818181818182,22.4058769513315,5,93,93.14102,138,17,114,21,11,4.81818181818182,22.4058769513315,5,1,0.0540540540540541,3025,15.714286,0.22405876,0.15714286,0,10.526316,100,50,94.73684,0,0.05020233,0.45454547,0.2631579,8,0.42105263,0.22405876,15.217391,0.1521739,-0.78325355,0,58,8,-0.332,0.26,0.592,-0.8384294,-0.50314045,1
Hughes,Harold,IA,0,0,4,0,0,1,0,6,0,1,1,0,1,1,1,93,51,12106,1972,1,1,1968,0,0,0,50,-0.5600000023841858,0,1,3,0,0,0,0,11,0,2,2,1,0.39432767033576965,NA,0.43400001525878906,1,1,0,0.2464912086725235,6,0.9429451823234558,1,93.12106,12106,358,100,176,11,142,28,6,8.66666666666667,4.6218487394958,2,93,93.12106,174,7,142,26,5,10.2,5.54621848739496,2,0.205882352941176,0.0943396226415094,2500,15.909091,0.04621849,0.1590909,0,18.181818,100,50,90.90909,0,0.0021361487,0.33333334,0.18181819,5,0.45454547,0.055462185,14.942529,0.14942528,-1.662591,0,58,8,-0.332,0.26,0.592,-0.8384294,-1.0330665,1
Church,Frank,ID,0,0,0,0,0,4,0,36,2,3,3,0,4,1,3,93,22,1721,1972,1,1,1956,0,0,0,60,-0.36800000071525574,0,1,9,0,0,0,0,40,0,7,6,3,1.1809903383255005,NA,0.2419999986886978,1,1,0,0.05449119955301285,2,1.2049940824508667,2,93.1721,1721,147,100,117,40,87,23,26,10.3846153846154,39.3162972049527,17,93,93.1721,114,40,87,20,26,10.3846153846154,39.3162972049527,17,0.302521008403361,0,3600,19.65812,0.39316297,0.19658118,0,17.5,85.71429,50,92.5,0,0.15457712,0.65384614,0.425,14,0.35,0.39316297,17.54386,0.1754386,0.052888058,0,58,8,-0.332,0.26,0.592,-0.8384294,0.026785644,3
McClure,James,ID,0,0,7,0,0,3,0,29,3,3,0,0,0,0,0,93,64,11029,1972,0,0,1972,0,0,0,52,0.47600001096725464,0,0,1,1,0.17900000512599945,0,0,36,0,3,3,3,0.5984436273574829,NA,0.6019999980926514,0,0,1,0.7895088195800781,2,0.33011165261268616,3,93.11029,11029,477,200,51,36,30,19,17,3.94117647058824,40.2485994397759,11,93,93.11029,50,29,30,18,15,4.33333333333333,32.281746031746,9,NA,0.916666666666667,2704,58.82353,0.402486,0.58823526,0,8.333333,100,100,91.666664,0,0.16199498,0.64705884,0.30555555,19,0.5277778,0.32281747,60,0.6,0.098986104,0,58,8,-0.332,0.26,0.592,-0.8384294,-0.8210961,3
Percy,Charles,IL,0,0,5,0,0,1,0,50,0,1,5,0,5,2,5,93,80,11205,1972,0,0,1966,0,0,0,62,0.05900000035762787,0,0,4,0,0,0,0,60,0,6,6,2,1.3880990743637085,NA,0.1850000023841858,1,0,0,0.37250879406929016,24,0.4611360728740692,3,93.11205,11205,555,200,149,60,108,40,37,4.51351351351351,51.3127413127413,33,93,93.11205,148,55,107,40,36,4.5,52.1825396825397,32,0.4,0.923076923076923,3844,72.48322,0.5131274,0.72483224,0,10,100,33.333332,96.666664,0,0.2632997,0.8918919,0.55,23,0.38333333000000003,0.5218254,72.297295,0.7229729,0.6460563,0,58,8,-0.332,0.26,0.592,-0.8384294,0.23875608,2
Stevenson,Adlai,IL,1,0,5,0,1,0,0,34,0,0,2,0,5,1,1,93,93,13102,1972,1,1,1970,0,0,0,58,-0.3330000042915344,0,1,2,1,0.3440000116825104,0,0,44,0,3,2,1,0.6259705424308777,NA,0.2070000022649765,0,1,0,0.01949120499193668,24,0.8992703557014465,2,93.13102,13102,668,100,160,44,112,42,21,9.47619047619048,33.7914638846316,17,93,93.13102,160,39,112,42,20,9.85,32.9810370788632,16,0.3,0.0487804878048781,3364,26.25,0.33791465,0.2625,0,6.818182,66.666664,50,97.72727,0,0.11418631,0.8095238,0.38636363,23,0.52272725,0.32981038,26.25,0.2625,-0.22028917,0,58,8,-0.332,0.26,0.592,-0.8384294,-0.18518479,1
Bayh,Birch,IN,0,0,6,0,0,4,0,39,1,3,2,0,2,2,2,93,6,10800,1972,1,1,1962,0,0,0,52,-0.40299999713897705,0,1,6,1,0.1430000066757202,0,0,47,0,6,5,3,1.1203582286834717,NA,0.2770000100135803,1,1,0,0.08949119597673416,11,1.0739696025848389,2,93.108,10800,37,100,150,47,118,27,28,11.1785714285714,23.5070177646705,20,93,93.108,150,41,118,27,28,11.1785714285714,23.5070177646705,20,0.0833333333333333,0.119047619047619,2704,18,0.23507018,0.18,0,12.765958,83.333336,60,93.61702,0,0.05525799,0.71428573,0.42553192,19,0.40425533,0.23507018,18,0.18,-0.7288072,0,58,8,-0.332,0.26,0.592,-0.8384294,-0.8210961,3
Hartke,Vance,IN,0,0,6,0,0,9,0,87,3,6,9,0,13,4,6,93,43,4154,1972,1,1,1958,0,0,0,50,-0.4370000064373016,1,1,8,0,0,0,0,106,0,18,12,7,2.9488537311553955,NA,0.3110000193119049,1,0,0,0.12349120527505876,11,2.261552095413208,2,93.4154,4154,317,100,90,105,66,18,52,8.61538461538461,29.1480217481253,31,93,93.4154,88,99,66,16,51,8.74509803921569,29.7195515863238,31,0.288464319343557,0.0476190476190476,2500,20,0.2914802,0.2,0,16.981133,66.666664,58.333332,93.396225,0,0.084960714,0.59615386,0.2952381,53,0.50476193,0.29719552,18.181818,0.18181819,-0.44988585,0,58,8,-0.332,0.26,0.592,-0.8384294,-1.0330665,7
Dole,Robert,KS,1,0,2,0,1,3,0,44,1,3,1,0,1,1,1,93,28,10513,1972,0,0,1968,0,0,0,60,0.26499998569488525,0,0,3,1,0.16899999976158142,0,0,47,0,5,5,2,0.8430629372596741,NA,0.390999972820282,1,1,0,0.5785087943077087,5,0.4174612760543823,3,93.10513,10513,215,200,137,47,51,83,21,5.04761904761905,31.1135974857779,13,93,93.10513,135,45,51,81,20,5.15,31.0026106934002,12,0,0.740740740740741,3600,37.226276,0.31113598,0.37226278,0,10.638298,100,40,95.74468,0,0.096805595,0.61904764,0.27659574,26,0.5531915,0.3100261,37.77778,0.37777779,-0.35269722,0,58,8,-0.332,0.26,0.592,-0.8384294,0.026785644,2
Pearson,James,KS,0,0,2,0,0,0,0,6,0,0,2,0,2,0,2,93,78,10817,1972,0,0,1962,0,0,0,71,0.06199999898672104,0,0,6,1,0.16899999976158142,0,0,10,0,2,2,0,0.329236775636673,NA,0.18799999356269836,1,0,0,0.37550878524780273,5,0.5484856963157654,2,93.10817,10817,548,200,30,10,18,12,6,6.33333333333333,53.4090909090909,6,93,93.10817,29,8,18,11,6,6.33333333333333,53.4090909090909,6,0.541666666666667,1,5041,60,0.53409094,0.6,0,20,100,0,100,0,0.28525314,1,0.6,4,0.4,0.53409094,62.068966,0.62068963,0.7497113,0,58,8,-0.332,0.26,0.592,-0.8384294,1.192623,0
Cook,Marlow,KY,2,0,5,0,2,1,0,34,0,1,2,0,2,2,2,93,24,12102,1972,0,0,1968,0,0,0,51,0.13699999451637268,0,0,3,1,0.07800000160932541,0,0,41,0,5,5,2,0.881182074546814,NA,0.2629999816417694,0,1,0,0.45050880312919617,7,0.4174612760543823,3,93.12102,12102,170,200,117,41,64,51,20,2.45,57.5064102564103,15,93,93.12102,115,36,63,50,20,2.45,57.5064102564103,15,1,0.75,2601,54.700855,0.5750641,0.5470086,0,12.195122,100,40,95.12195,0,0.33069876,0.75,0.36585367,21,0.5121951,0.5750641,54.782608,0.54782605,0.95230466,0,58,8,-0.332,0.26,0.592,-0.8384294,-0.92708135,2
Huddleston,Walter,KY,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,93,50,14106,1972,1,1,1972,0,0,0,51,-0.2939999997615814,0,1,1,1,0.07800000160932541,0,0,4,0,0,0,0,0.01483403518795967,NA,0.1679999977350235,0,0,1,0.01950879953801632,7,0.8555955290794373,1,93.14106,14106,357,100,59,4,44,13,1,4,25,1,93,93.14106,59,2,44,13,1,4,25,1,NA,0.1,2601,22.033897,0.25,0.22033897,0,0,NA,NA,100,0,0.0625,1,0.25,3,0.75,0.25,22.033897,0.22033897,-0.6549862,0,58,8,-0.332,0.26,0.592,-0.8384294,-0.92708135,0
Johnston,J.,LA,0,0,1,0,0,3,0,10,0,3,2,0,2,1,2,93,56,14107,1972,1,1,1972,0,0,0,55,-0.11299999803304672,0,1,1,1,0.15000000596046448,0,0,13,0,5,5,1,0.6926602125167847,NA,0.01300000213086605,0,0,1,0.20050880312919617,8,0.8555955290794373,2,93.14107,14107,393,100,56,13,46,10,6,1.66666666666667,0,0,93,93.14107,56,12,46,10,6,1.66666666666667,0,0,0,0.0666666666666667,3025,17.857143,0,0.17857143,0,38.46154,100,20,92.30769,0,0,0,0,7,0.53846157,0,17.857143,0.17857143,-1.8911198,0,58,8,-0.332,0.26,0.592,-0.8384294,-0.50314045,1
